@RELATION TrigramTraining 

@ATTRIBUTE "P1[de] [técnico] [dunga]" integer 
@ATTRIBUTE "P2[time] [de] [técnico]" integer 
@ATTRIBUTE "P3[em] [primeiro] [tempo]" integer 
@ATTRIBUTE "P4[em] [busca] [de]" integer 
@ATTRIBUTE "P5[de] [jogo] [de]" integer 
@ATTRIBUTE "P6[de] [time] [de]" integer 
@ATTRIBUTE "P7[categoria] [de] [base]" integer 
@ATTRIBUTE "P8[em] [início] [de]" integer 
@ATTRIBUTE "P9[quarta-feira] [a] [noite]" integer 
@ATTRIBUTE "P10[de] [segundo] [tempo]" integer 
@ATTRIBUTE "P11[em] [final] [de]" integer 
@ATTRIBUTE "P12[em] [condição] [de]" integer 
@ATTRIBUTE "P13[em] [segundo] [etapa]" integer 
@ATTRIBUTE "P14[em] [jogo] [de]" integer 
@ATTRIBUTE "P15[em] [segundo] [tempo]" integer 
@ATTRIBUTE "P16[a] [noite] [em]" integer 
@ATTRIBUTE "P17[história] [de] [clube]" integer 
@ATTRIBUTE "P18[ter] [chance] [de]" integer 
@ATTRIBUTE "P19[em] [jogo] [disputar]" integer 
@ATTRIBUTE "P20[conquista] [de] [título]" integer 
@ATTRIBUTE "P21[com] [exceção] [de]" integer 
@ATTRIBUTE "P22[ser] [derrotar] [por]" integer 
@ATTRIBUTE "P23[de] [técnico] [renato=portaluppi]" integer 
@ATTRIBUTE "P24[de] [clube] [de]" integer 
@ATTRIBUTE "P25[jogo] [de] [domingo]" integer 
@ATTRIBUTE "P26[estar] [em] [campo]" integer 
@ATTRIBUTE "P27[de] [domingo] [contra]" integer 
@ATTRIBUTE "P28[vontade] [de] [vencer]" integer 
@ATTRIBUTE "P29[campeão] [de] [mundo]" integer 
@ATTRIBUTE "P30[em] [jogo] [contra]" integer 
@ATTRIBUTE "P31[entrar] [em] [campo]" integer 
@ATTRIBUTE "P32[em] [partida] [contra]" integer 
@ATTRIBUTE "P33[a] [minuto] [de]" integer 
@ATTRIBUTE "P34[em] [meio] [a]" integer 
@ATTRIBUTE "P35[jogo] [de] [futebol]" integer 
@ATTRIBUTE "P36[de] [jogador] [de]" integer 
@ATTRIBUTE "P37[em] [derrota] [para]" integer 
@ATTRIBUTE "P38[primeiro] [rodada] [de]" integer 
@ATTRIBUTE "P39[mandar] [a] [campo]" integer 
@ATTRIBUTE "P40[atuação] [de] [grêmio]" integer 
@ATTRIBUTE "P41[domingo] [em] [arena]" integer 
@ATTRIBUTE "P42[de] [jogo] [em]" integer 
@ATTRIBUTE "P43[em] [momento] [de]" integer 
@ATTRIBUTE "P44[para] [jogo] [de]" integer 
@ATTRIBUTE "P45[fracasso] [kenny=braga] [kenny.braga@diariogaucho.com.br]" integer 
@ATTRIBUTE "P46[chegar] [de] [fracasso]" integer 
@ATTRIBUTE "P47[origem] [categoria] [de]" integer 
@ATTRIBUTE "P48[logo] [em] [início]" integer 
@ATTRIBUTE "P49[de] [história] [de]" integer 
@ATTRIBUTE "P50[por] [qualidade] [técnico]" integer 
@ATTRIBUTE "P51[de] [ano] [ser]" integer 
@ATTRIBUTE "P52[bala] [em] [cara]" integer 
@ATTRIBUTE "P53[ser] [prender] [em]" integer 
@ATTRIBUTE "P54[em] [manhã] [de]" integer 
@ATTRIBUTE "P55[em] [noite] [de]" integer 
@ATTRIBUTE "P56[em] [tarde] [de]" integer 
@ATTRIBUTE "P57[de] [bala] [em]" integer 
@ATTRIBUTE "P58[tráfico] [de] [droga]" integer 
@ATTRIBUTE "P59[de] [tráfico] [em]" integer 
@ATTRIBUTE "P60[de] [ano] [passado]" integer 
@ATTRIBUTE "P61[de=acordo] [com] [delegado]" integer 
@ATTRIBUTE "P62[ano] [ser] [matar]" integer 
@ATTRIBUTE "P63[tentativa] [de] [homicídio]" integer 
@ATTRIBUTE "P64[boca] [de] [fumo]" integer 
@ATTRIBUTE "P65[ano] [ser] [prender]" integer 
@ATTRIBUTE "P66[ser] [matar] [com]" integer 
@ATTRIBUTE "P67[em] [casa] [de]" integer 
@ATTRIBUTE "P68[com] [tiro] [em]" integer 
@ATTRIBUTE "P69[homem] [de] [ano]" integer 
@ATTRIBUTE "P70[de] [droga] [em]" integer 
@ATTRIBUTE "P71[ser] [encontrar] [matar]" integer 
@ATTRIBUTE "P72[adolescente] [de] [ano]" integer 
@ATTRIBUTE "P73[jovem] [de] [ano]" integer 
@ATTRIBUTE "P74[em] [madrugada] [de]" integer 
@ATTRIBUTE "P75[suspeita] [ser] [de]" integer 
@ATTRIBUTE "P76[líder] [de] [tráfico]" integer 
@ATTRIBUTE "P77[a] [tiro] [em]" integer 
@ATTRIBUTE "P78[por=volta=de] [min] [de]" integer 
@ATTRIBUTE "P79[de] [tentativa] [de]" integer 
@ATTRIBUTE "P80[de] [ano] [em]" integer 
@ATTRIBUTE "P81[de] [4ª] [dhpp]" integer 
@ATTRIBUTE "P82[de] [casa] [de]" integer 
@ATTRIBUTE "P83[matar] [a] [tiro]" integer 
@ATTRIBUTE "P84[ser] [apontar] [como]" integer 
@ATTRIBUTE "P85[desde] [começo] [de]" integer 
@ATTRIBUTE "P86[ser] [matar] [a]" integer 
@ATTRIBUTE "P87[a] [ano] [ser]" integer 
@ATTRIBUTE "P88[não] [ter] [antecedente]" integer 
@ATTRIBUTE "P89[de] [polícia] [ser]" integer 
@ATTRIBUTE "P90[em] [dia] [de]" integer 
@ATTRIBUTE "P91[ser] [encontrar] [em]" integer 
@ATTRIBUTE "P92[ano] [ser] [encontrar]" integer 
@ATTRIBUTE "P93[ser] [matar] [em]" integer 
@ATTRIBUTE "P94[homem] [ser] [prender]" integer 
@ATTRIBUTE "P95[guerra] [de] [tráfico]" integer 
@ATTRIBUTE "P96[de] [homicídio] [de]" integer 
@ATTRIBUTE "P97[manhã] [de] [sexta-feira]" integer 
@ATTRIBUTE "P98[polícia] [ser] [de]" integer 
@ATTRIBUTE "P99[cena] [de] [crime]" integer 
@ATTRIBUTE "P100[@] [diáriogaúcho] [com.br]" integer 
@ATTRIBUTE "P101[por] [tiago=rech] [a]" integer 
@ATTRIBUTE "P102[tiago=rech] [a] [categoria]" integer 
@ATTRIBUTE "P103[postar] [por] [tiago=rech]" integer 
@ATTRIBUTE "P104[por] [michele=vaz=pradella] [a]" integer 
@ATTRIBUTE "P105[michele=vaz=pradella] [a] [categoria]" integer 
@ATTRIBUTE "P106[amanda] [munhoz] [amanda.munhoz@diariogaucho.com.br]" integer 
@ATTRIBUTE "P107[postar] [por] [michele=vaz=pradella]" integer 
@ATTRIBUTE "P108[dona] [de] [casa]" integer 
@ATTRIBUTE "P109[postar] [por] [juliana=mello]" integer 
@ATTRIBUTE "P110[juliana=mello] [a] [categoria]" integer 
@ATTRIBUTE "P111[por] [juliana=mello] [a]" integer 
@ATTRIBUTE "P112[rede] [de] [esgoto]" integer 
@ATTRIBUTE "P113[a] [categoria] [lixo]" integer 
@ATTRIBUTE "P114[de] [prefeitura] [de]" integer 
@ATTRIBUTE "P115[em=frente] [a] [casa]" integer 
@ATTRIBUTE "P116[de] [rede] [de]" integer 
@ATTRIBUTE "P117[ser] [fazer] [em]" integer 
@ATTRIBUTE "P118[prefeitura] [de] [viamão]" integer 
@ATTRIBUTE "P119[dia] [de] [chuva]" integer 
@ATTRIBUTE "P120[a] [categoria] [buraco]" integer 
@ATTRIBUTE "P121[roberta=schuler-robertaschuler] [@] [diáriogaúcho]" integer 
@ATTRIBUTE "P122[a] [categoria] [esgoto]" integer 
@ATTRIBUTE "P123[por] [roberta=schuler-robertaschuler] [@]" integer 
@ATTRIBUTE "P124[contato] [com] [prefeitura]" integer 
@ATTRIBUTE "P125[em] [altura] [de]" integer 
@ATTRIBUTE "P126[em] [ano] [passado]" integer 
@ATTRIBUTE "P127[por] [amanda] [munhoz]" integer 
@ATTRIBUTE "P128[de] [esgoto] [em]" integer 
@ATTRIBUTE "P129[parada] [de] [ônibus]" integer 
@ATTRIBUTE "P130[de] [água] [sujo]" integer 
@ATTRIBUTE "P131[prefeitura] [de] [alvorada]" integer 
@ATTRIBUTE "P132[até] [fechamento] [de]" integer 
@ATTRIBUTE "P133[de] [saúde] [de]" integer 
@ATTRIBUTE "P134[fechamento] [de] [edição]" integer 
@ATTRIBUTE "P135[postado] [por] [tiago=rech]" integer 
@ATTRIBUTE "P136[de] [chão] [batido]" integer 
@ATTRIBUTE "P137[faixa] [de] [segurança]" integer 
@ATTRIBUTE "P138[cancha] [de] [bocha]" integer 
@ATTRIBUTE "P139[lixo] [em] [local]" integer 
@ATTRIBUTE "P140[categoria] [entulho] [lixar]" integer 
@ATTRIBUTE "P141[a] [categoria] [entulho]" integer 
@ATTRIBUTE "P142[altura] [de] [número]" integer 
@ATTRIBUTE "P143[há] [cerca=de] [ano]" integer 
@ATTRIBUTE "P144[ano] [morador] [de]" integer 
@ATTRIBUTE "P145[por] [cÁren] [cecília]" integer 
@ATTRIBUTE "P146[cecília] [baldocaren.baldo@diariogaucho.com.br] [categoria]" integer 
@ATTRIBUTE "P147[diáriogaúcho] [com.br] [categoria]" integer 
@ATTRIBUTE "P148[cÁren] [cecília] [baldocaren.baldo@diariogaucho.com.br]" integer 
@ATTRIBUTE "P149[por] [tiago] [rech-tiago]" integer 
@ATTRIBUTE "P150[tiago] [rech-tiago] [rech]" integer 
@ATTRIBUTE "P151[rech] [@] [diáriogaúcho]" integer 
@ATTRIBUTE "P152[rech-tiago] [rech] [@]" integer 
@ATTRIBUTE "P153[com] [inscrição] [abrir]" integer 
@ATTRIBUTE "P154[por] [e-mail] [para]" integer 
@ATTRIBUTE "P155[currículo] [por] [e-mail]" integer 
@ATTRIBUTE "P156[por] [espaço=do=trabalhador] [a]" integer 
@ATTRIBUTE "P157[em] [área] [de]" integer 
@ATTRIBUTE "P158[com.br] [categoria] [vaga]" integer 
@ATTRIBUTE "P159[enviar] [currículo] [por]" integer 
@ATTRIBUTE "P160[postar] [por] [cÁren]" integer 
@ATTRIBUTE "P161[postar] [por] [espaço=do=trabalhador]" integer 
@ATTRIBUTE "P162[espaço=do=trabalhador] [a] [categoria]" integer 
@ATTRIBUTE "P163[de] [r] [r]" integer 
@ATTRIBUTE "P164[estar] [com] [inscrição]" integer 
@ATTRIBUTE "P165[por] [cáren=cecília=baldo] [a]" integer 
@ATTRIBUTE "P166[com] [informação] [de]" integer 
@ATTRIBUTE "P167[ser] [preciso] [ter]" integer 
@ATTRIBUTE "P168[r] [prazo] [de]" integer 
@ATTRIBUTE "P169[categoria] [anotar] [aí]" integer 
@ATTRIBUTE "P170[postado] [por] [cÁren]" integer 
@ATTRIBUTE "P171[postado] [por] [tiago]" integer 
@ATTRIBUTE "P172[baldocaren.baldo@diariogaucho.com.br] [categoria] [vaga]" integer 
@ATTRIBUTE "P173[cáren=cecília=baldo] [a] [categoria]" integer 
@ATTRIBUTE "P174[até] [dia] [de]" integer 
@ATTRIBUTE "P175[auxiliar] [de] [produção]" integer 
@ATTRIBUTE "P176[estar] [com] [vaga]" integer 
@ATTRIBUTE "P177[fazer] [parte] [de]" integer 
@ATTRIBUTE "P178[salário] [de] [r]" integer 
@ATTRIBUTE "P179[r] [r] [prazo]" integer 
@ATTRIBUTE "P180[postar] [por] [tiago]" integer 
@ATTRIBUTE "P181[informação] [por] [telefone]" integer 
@ATTRIBUTE "P182[de] [min] [a]" integer 
@ATTRIBUTE "P183[para] [pessoa] [com]" integer 
@ATTRIBUTE "P184[dia] [de] [agosto]" integer 
@ATTRIBUTE "P185[final] [de] [semana]" integer 
@ATTRIBUTE "P186[último] [dia] [para]" integer 
@ATTRIBUTE "P187[inscrição] [para] [curso]" integer 
@ATTRIBUTE "P188[em] [comparação] [com]" integer 
@ATTRIBUTE "P189[ser] [de] [r]" integer 
@ATTRIBUTE "P190[de] [outubro] [taxa]" integer 
@ATTRIBUTE "P191[de] [trabalho] [em]" integer 
@ATTRIBUTE "P192[pessoa] [com] [deficiência]" integer 
@ATTRIBUTE class {esportes,policia,problema,trabalhador} 

@DATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
